ADDRESS,LATITUDE,LONGITUDE
5500 S WENTWORTH AVEN,41.794201,-87.630518
5500 S WESTERN AVE,41.79337055,-87.68417538
5600 W ADDISON STREET,41.9459851,-87.76687995
5600 W BELMONT AVENUE,41.93868378,-87.76656249
5600 W CHICAGO AVENUE,41.89496229,-87.76546079
5600 W DIVERSEY AVENUE,41.93138598,-87.76631053
5600 W FULLERTON AVENU,41.9240902,-87.76605353
5600 W IRVING PARK ROAD,41.95329285,-87.76706571
5600 W LAKE STREET,41.88783874,-87.76518366
5600 W MADISON STREET,41.88035456,-87.76494814
5700 S CORNELL DRIVE,41.7915802,-87.58556422
5930 N CLARK STREET,41.98929863,-87.67010412
600 S CICERO AVENUE,41.87309483,-87.74514387
6000 N CALIFORNIA AVE,41.99052772,-87.69955208
6000 N CICERO AVENUE,41.98997392,-87.74847302
6000 N PULASKI ROAD,41.99016092,-87.72879075
6000 N WESTERN AVE,41.99058604,-87.68982247
6000 W ADDISON STREET,41.94587968,-87.77662742
6000 W DIVERSEY AVENUE,41.93124862,-87.77602861
6000 W IRVING PARK ROAD,41.95316377,-87.77684259
6200 N KIMBALL AVENUE,41.99384144,-87.71424249
6200 N LINCOLN AVENUE,41.99445,-87.71420844
6300 S ASHLAND AVE,41.77937222,-87.66436535
6300 S DAMEN AVENUE,41.77922692,-87.67405273
6300 S HALSTED STREET,41.7796575,-87.64493099
6300 S KEDZIE AVE,41.77894575,-87.70328312
6300 S PULASKI RD,41.77863647,-87.72290636
6300 S STATE ST,41.78000828,-87.62552251
6300 S WESTERN AVE,41.77912348,-87.6837831
6400 N CALIFORNIA AVE,41.99764913,-87.69979263
6400 N HARLEM AVE,41.99701892,-87.80694772
6400 N MILWAUKEE AVEN,41.99738217,-87.78807767
6400 N SHERIDAN ROAD,41.99821792,-87.66069526
6400 N WESTERN AVENUE,41.99781781,-87.69003304
6400 W ARCHER AVE,41.79245526,-87.78187685
6400 W DEVON AVENUE,41.99746398,-87.78761024
6400 W FOSTER,41.97576257,-87.7879343
6400 W FULLERTON AVENU,41.92378619,-87.78556721
6400 W IRVING PK,41.95302475,-87.78668324
6700 S CORNELL DRIVE,41.77325149,-87.5852246
6700 S STONY ISLAND A,41.7732929,-87.58644237
6700 S WESTERN AVENUE,41.77188403,-87.6835884
6800 N WESTERN AVENUE,42.00507612,-87.69021903
6800 W GRAND AVENUE,41.92370819,-87.79530078
7100 S ASHLAND,41.76485938,-87.66394018
7100 S COTTAGE GROVE,41.76580035,-87.60572913
7100 S KEDZIE AVENUE,41.76429504,-87.70295716
7100 S WESTERN AVENUE,41.76460891,-87.68338705
7200 N WESTERN AVENUE,42.01237134,-87.69039392
7200 W ADDISON,41.94537336,-87.80707033
7200 W BELMONT AVE,41.93810548,-87.80680955
7432 W TOUHY AVENUE,42.01166177,-87.81278143
7500 S STATE STREET,41.75809218,-87.62490223
7600 S STONY ISLAND A,41.75689717,-87.58623429
